created_at,peer_id,step,question_raw,question_norm,cluster_key,count,last_seen_at
2026-02-20T19:55:07+02:00,156414561,schedule_shift_wait,а графік можна змінити?,а графік можна змінити,а графік можна змінити,1,2026-02-20T19:55:07+02:00
2026-02-20T20:34:43+02:00,156414561,schedule_shift_wait,а лікарняні є?,а лікарняні є,а лікарняні є,1,2026-02-20T20:34:43+02:00
2026-02-20T20:35:29+02:00,156414561,schedule_shift_wait,а можна змінити зміну під час навчаня?,а можна змінити зміну під час навчаня,а можна змінити зміну під час навчаня,1,2026-02-20T20:35:29+02:00
2026-02-20T21:25:27+02:00,156414561,test_review,5 годин,5 годин,5 годин,2,2026-02-20T21:25:27+02:00
2026-02-20T21:38:35+02:00,156414561,schedule_confirm,В лікарняні є?,в лікарняні є,в лікарняні є,1,2026-02-20T21:38:35+02:00
2026-02-20T22:15:34+02:00,156414561,schedule_shift_wait,а можна без вихідних працювати?,а можна без вихідних працювати,а можна без вихідних працювати,1,2026-02-20T22:15:34+02:00
2026-02-20T23:34:34+02:00,1768368477,company_intro,"так, але хочу спочатку спитати, скільки треба мінімум змін брати на місяць і до якої години можна працювати ввечері?",так але хочу спочатку спитати скільки треба мінімум змін брати на місяць і до якої години можна працювати ввечері,так але хочу спочатку спитати скільки треба мінімум змін брати на місяць і до якої години можна працювати ввечері,1,2026-02-20T23:34:34+02:00
2026-02-21T00:10:15+02:00,156414561,test_review,4 години,4 години,4 години,2,2026-02-21T00:10:15+02:00
2026-02-21T12:11:51+02:00,2020089257,voice_wait,Які графіки?,які графіки,які графіки,1,2026-02-21T12:11:51+02:00
2026-02-21T12:12:29+02:00,2020089257,voice_wait,А ранкового графіку немає?,а ранкового графіку немає,а ранкового графіку немає,1,2026-02-21T12:12:29+02:00
2026-02-22T20:55:37+02:00,7553396978,voice_wait,"Які графіки роботи, скільки триває стажування, та як вона оплачується",які графіки роботи скільки триває стажування та як вона оплачується,які графіки роботи скільки триває стажування та як вона оплачується,1,2026-02-22T20:55:37+02:00
2026-02-22T21:20:39+02:00,535194431,screening_wait,"Я в декретній відпустці,ніколи не чула що таке дейтинг але цікаво дізнатись, мені 23 роки.",я в декретній відпустцініколи не чула що таке дейтинг але цікаво дізнатись мені 23 роки,я в декретній відпустцініколи не чула що таке дейтинг але цікаво дізнатись мені 23 роки,1,2026-02-22T21:20:39+02:00
2026-02-22T21:22:20+02:00,535194431,screening_wait,"Привіт 
Цікавить графік роботи, та яка дійсно зарплатня",привіт цікавить графік роботи та яка дійсно зарплатня,привіт цікавить графік роботи та яка дійсно зарплатня,1,2026-02-22T21:22:20+02:00
